"","sec_pc1","rot_pc1","sec_pc2","rot_pc2","sec_pc3","rot_pc3"
"Q1",0.816984615032239,0.660275799684069,-0.139412347030467,0.220582607805903,-0.00211592673793286,0.449759182602188
"Q2",0.672608363334709,0.543724286101555,-0.0137552566850913,0.288252515839042,0.0891744025405396,0.286037898535401
"Q3",0.765521535202766,0.620601816053434,-0.0326965122493912,0.310741863595201,0.0896861059043003,0.336791865230312
"Q4",0.623373254503666,0.218287977488383,0.643078262050602,0.853683760615465,0.108031860223544,0.193362726815029
"Q5",0.690084109686061,0.244173478913479,-0.0312646645727868,0.161747499259015,-0.542354569643352,0.827984960964763
"Q6",0.682802863181316,0.652422489273962,-0.104620942131413,0.234070799651927,0.207232000454084,0.199163625577421
"Q7",0.656624864984585,0.789534374634787,-0.317631963239943,0.055983218857571,0.324176779339004,0.103141708957603
"Q8",0.786105436971894,0.381937304547283,0.0423598314354431,0.304883901355708,-0.343212951084648,0.706201773742833
"Q9",0.723029522150503,0.737814812048787,-0.231646182865665,0.137669532217306,0.20355603787034,0.233544658494624
"Q10",0.686152908931024,0.276889483789384,-0.0986803775028613,0.102098780971551,-0.532678748658023,0.822920611785524
"Q11",0.752973494236014,0.75734931497369,-0.261006729298692,0.118439566396947,0.172516196062946,0.277937974889737
"Q12",0.630350528465897,0.23276155535974,0.637531242993483,0.854234615409217,0.121522833769562,0.186174525219263
"Q13",0.71190848047,0.593191509460705,-0.0646383654088459,0.258787123927634,0.0843359185053903,0.315051436421059
"Q14",0.811467690609601,0.718757825331563,-0.099700163356344,0.283260877472362,0.156787045965743,0.310084790142074
"Q15",0.704042817788738,0.341756727768454,0.0105793645652647,0.244072063510378,-0.332546875605409,0.65574904006656
"Q16",0.757561579972165,0.739624128039166,-0.202815914917401,0.173991808703934,0.183170175018565,0.266960962569949
"Q17",0.617533600929521,0.205402142524334,0.664260505194271,0.870391011219988,0.110061160382518,0.186902845073411
"Q18",0.80672839840296,0.609032471984823,-0.113604323386806,0.22733032868986,-0.0651891451900837,0.495344976211942
