"","REP","INV","POL","FAML","REP*POL","SEC","TRUST"
"TRST1",0,0,0,0,0,0,0.9
"TRST2",0,0,0,0,0,0,0.909
"TRST3",0,0,0,0,0,0,0.905
"TRST4",0,0,0,0,0,0,0.838
"PSEC1",0,0,0,0,0,0.813,0
"PSEC2",0,0,0,0,0,0.865,0
"PSEC3",0,0,0,0,0,0.868,0
"PSEC4",0,0,0,0,0,0.807,0
"PREP1",0.8,0,0,0,0,0,0
"PREP2",0.913,0,0,0,0,0,0
"PREP3",0.908,0,0,0,0,0,0
"PREP4",0.718,0,0,0,0,0,0
"PINV1",0,0.903,0,0,0,0,0
"PINV2",0,0.925,0,0,0,0,0
"PINV3",0,0.855,0,0,0,0,0
"PPSS1",0,0,0.868,0,0,0,0
"PPSS2",0,0,0.893,0,0,0,0
"PPSS3",0,0,0.911,0,0,0,0
"FAML1",0,0,0,1,0,0,0
"PREP1*PPSS1",0,0,0,0,0.581,0,0
"PREP1*PPSS2",0,0,0,0,0.51,0,0
"PREP1*PPSS3",0,0,0,0,0.506,0,0
"PREP2*PPSS1",0,0,0,0,0.509,0,0
"PREP2*PPSS2",0,0,0,0,0.421,0,0
"PREP2*PPSS3",0,0,0,0,0.336,0,0
"PREP3*PPSS1",0,0,0,0,0.236,0,0
"PREP3*PPSS2",0,0,0,0,0.555,0,0
"PREP3*PPSS3",0,0,0,0,0.466,0,0
"PREP4*PPSS1",0,0,0,0,0.9,0,0
"PREP4*PPSS2",0,0,0,0,0.836,0,0
"PREP4*PPSS3",0,0,0,0,0.859,0,0
