"","REP","INV","POL","FAML","REP*POL","SEC","TRUST"
"TRST1",0,0,0,0,0,0,0.282
"TRST2",0,0,0,0,0,0,0.28
"TRST3",0,0,0,0,0,0,0.286
"TRST4",0,0,0,0,0,0,0.278
"PSEC1",0,0,0,0,0,0.277,0
"PSEC2",0,0,0,0,0,0.315,0
"PSEC3",0,0,0,0,0,0.307,0
"PSEC4",0,0,0,0,0,0.292,0
"PREP1",0.215,0,0,0,0,0,0
"PREP2",0.334,0,0,0,0,0,0
"PREP3",0.349,0,0,0,0,0,0
"PREP4",0.287,0,0,0,0,0,0
"PINV1",0,0.363,0,0,0,0,0
"PINV2",0,0.395,0,0,0,0,0
"PINV3",0,0.358,0,0,0,0,0
"PPSS1",0,0,0.36,0,0,0,0
"PPSS2",0,0,0.395,0,0,0,0
"PPSS3",0,0,0.367,0,0,0,0
"FAML1",0,0,0,1,0,0,0
"PREP1*PPSS1",0,0,0,0,0.239,0,0
"PREP1*PPSS2",0,0,0,0,0.031,0,0
"PREP1*PPSS3",0,0,0,0,0.021,0,0
"PREP2*PPSS1",0,0,0,0,0.046,0,0
"PREP2*PPSS2",0,0,0,0,-0.104,0,0
"PREP2*PPSS3",0,0,0,0,-0.228,0,0
"PREP3*PPSS1",0,0,0,0,-0.341,0,0
"PREP3*PPSS2",0,0,0,0,0.095,0,0
"PREP3*PPSS3",0,0,0,0,0.108,0,0
"PREP4*PPSS1",0,0,0,0,0.443,0,0
"PREP4*PPSS2",0,0,0,0,0.382,0,0
"PREP4*PPSS3",0,0,0,0,0.271,0,0
