ILEC,CLEC
17.5,26.62
2.4,8.6
0,0
0.65,21.15
22.23,8.33
1.2,20.28
2.08,96.32
4.97,17.97
0,3.42
27.65,0.07
15.67,24.38
0,19.88
0.4,14.33
17.85,5.45
22.18,5.4
17.33,2.68
0,0
0,24.2
69.93,22.13
0,18.57
0,20
31.22,14.13
77.17,5.8
0,NA
4.08,NA
17.48,NA
24.2,NA
19.33,NA
3.52,NA
0,NA
22.5,NA
17.25,NA
0.42,NA
3.65,NA
2.07,NA
0,NA
0,NA
0,NA
0,NA
0,NA
191.6,NA
23.02,NA
19.88,NA
0,NA
0,NA
52.1,NA
23.4,NA
0,NA
43.03,NA
46.95,NA
0,NA
45.57,NA
22.15,NA
0.07,NA
0.07,NA
1.22,NA
91.02,NA
0.07,NA
74.05,NA
3.55,NA
4.32,NA
0.28,NA
3.05,NA
4.85,NA
0,NA
4.17,NA
40.25,NA
1.18,NA
54.28,NA
1.2,NA
0,NA
1.55,NA
3.22,NA
3.9,NA
5.7,NA
73.53,NA
28.87,NA
0,NA
0,NA
0,NA
0,NA
19.48,NA
18.52,NA
19.8,NA
23.6,NA
22.37,NA
22.45,NA
21.2,NA
0,NA
0,NA
19.45,NA
91.1,NA
21.27,NA
2.48,NA
3.82,NA
23.83,NA
22.7,NA
21.03,NA
23.3,NA
16.58,NA
6.03,NA
27.6,NA
29.12,NA
5.08,NA
0,NA
18.17,NA
0,NA
19.82,NA
0,NA
27.28,NA
21.38,NA
29.25,NA
48.23,NA
20.77,NA
22.3,NA
1.82,NA
1.98,NA
19.27,NA
27.15,NA
0.03,NA
16.63,NA
3.8,NA
3.77,NA
7.12,NA
0,NA
16.33,NA
20.5,NA
18.57,NA
24.7,NA
0,NA
22.28,NA
3.07,NA
0,NA
0,NA
0,NA
0,NA
0,NA
20.38,NA
0,NA
2.1,NA
1.22,NA
3.87,NA
0,NA
1.57,NA
0.43,NA
0,NA
16.8,NA
17.62,NA
0,NA
36.03,NA
0,NA
6.05,NA
1.82,NA
0,NA
0,NA
23.02,NA
0,NA
2.37,NA
20.35,NA
26.95,NA
0,NA
0,NA
6.07,NA
14.87,NA
4.5,NA
0.1,NA
0.4,NA
0.03,NA
1.7,NA
16.87,NA
1.43,NA
0.15,NA
0.05,NA
25.57,NA
0,NA
0,NA
5.58,NA
15.48,NA
0,NA
7.53,NA
0.38,NA
0,NA
0,NA
2.2,NA
0,NA
1.9,NA
0,NA
0,NA
30.72,NA
21.6,NA
0,NA
22.78,NA
2.18,NA
27.23,NA
0,NA
0.33,NA
13.88,NA
22.98,NA
5.92,NA
14.7,NA
5.13,NA
2.33,NA
0,NA
0.58,NA
19.68,NA
21.72,NA
8.28,NA
20.58,NA
23.95,NA
16.52,NA
0,NA
25.15,NA
50.57,NA
0,NA
0,NA
0,NA
15.22,NA
21.28,NA
6.23,NA
25.32,NA
29.98,NA
0.1,NA
25.13,NA
23.47,NA
7.03,NA
1.25,NA
18.67,NA
0,NA
0,NA
23.72,NA
24.72,NA
2.45,NA
4.25,NA
10.03,NA
17.98,NA
0,NA
24.52,NA
0,NA
59.43,NA
0.35,NA
22.52,NA
19.95,NA
0,NA
0,NA
0.18,NA
0,NA
0,NA
0.48,NA
0,NA
0,NA
0.05,NA
0.05,NA
0.32,NA
42.37,NA
0,NA
48.4,NA
0,NA
41.32,NA
50.77,NA
98.42,NA
21.92,NA
0,NA
0,NA
0.07,NA
70.05,NA
2.63,NA
0.02,NA
4.47,NA
5.3,NA
68.72,NA
1.88,NA
73.68,NA
0.25,NA
0.93,NA
0,NA
6.32,NA
57.38,NA
0,NA
0,NA
19.52,NA
19.67,NA
17.65,NA
24.17,NA
1.8,NA
21.37,NA
15.88,NA
18.47,NA
5.47,NA
28.57,NA
1.97,NA
6.07,NA
0,NA
0,NA
23.6,NA
24.18,NA
21.52,NA
22.22,NA
0,NA
14.22,NA
21.6,NA
24.58,NA
24.57,NA
23.25,NA
0,NA
0,NA
26.83,NA
24.2,NA
24.25,NA
1.62,NA
0,NA
171.35,NA
45.3,NA
26.27,NA
0,NA
18.18,NA
7.33,NA
40.1,NA
13,NA
0,NA
0,NA
0.02,NA
3.58,NA
29.78,NA
0,NA
32.85,NA
18.33,NA
17.9,NA
0,NA
30.37,NA
1.63,NA
0,NA
0.07,NA
27.83,NA
0,NA
17.62,NA
48.43,NA
27.38,NA
20.13,NA
18.57,NA
20.9,NA
21.33,NA
19.27,NA
0,NA
18.98,NA
19.62,NA
0,NA
0,NA
0,NA
0.35,NA
0,NA
45.83,NA
17.48,NA
0,NA
0,NA
26.68,NA
0,NA
6.1,NA
50.27,NA
0,NA
2.78,NA
0.03,NA
0,NA
24.97,NA
0,NA
0.27,NA
20.03,NA
0,NA
46,NA
2.47,NA
25.88,NA
2.8,NA
20.95,NA
1.45,NA
27.23,NA
18.98,NA
45.27,NA
5.32,NA
25.75,NA
3.82,NA
3.57,NA
3.12,NA
17.38,NA
17.42,NA
1.73,NA
27.33,NA
24.18,NA
15.28,NA
1.23,NA
25.67,NA
6.27,NA
0,NA
0,NA
6.37,NA
7.38,NA
26.37,NA
0,NA
2.53,NA
0.02,NA
5.77,NA
0,NA
0,NA
0,NA
48.58,NA
4.23,NA
0,NA
5.32,NA
5.17,NA
2.45,NA
0,NA
6.42,NA
15,NA
4.28,NA
18.85,NA
1.3,NA
0,NA
0,NA
27.13,NA
2.53,NA
23.53,NA
0,NA
0.27,NA
47.27,NA
36.85,NA
68.57,NA
0.48,NA
0,NA
2.95,NA
0.08,NA
